Time,Refuel_time,EDC,Cycle,value
99.11666666666667,50min,50mM,01,0.06019999999999999
99.28333333333333,50min,50mM,01,0.06050000000000001
99.45,50min,50mM,01,0.0606
99.6,50min,50mM,01,0.060399999999999995
50.0,50min,50mM,01,0.16759999999999997
50.15,50min,50mM,01,1.3122
50.31666666666667,50min,50mM,01,1.6075
50.483333333333334,50min,50mM,01,1.7268
50.65,50min,50mM,01,1.8016999999999999
50.81666666666667,50min,50mM,01,1.8499999999999999
50.983333333333334,50min,50mM,01,1.8395
51.15,50min,50mM,01,1.8104
51.31666666666667,50min,50mM,01,1.7857999999999998
51.46666666666667,50min,50mM,01,1.7707
51.63333333333333,50min,50mM,01,1.7519
51.8,50min,50mM,01,1.7256
51.96666666666667,50min,50mM,01,1.6888999999999998
52.13333333333333,50min,50mM,01,1.6886999999999999
52.3,50min,50mM,01,1.7096
52.46666666666667,50min,50mM,01,1.7081
52.63333333333333,50min,50mM,01,1.7004
52.8,50min,50mM,01,1.7095
52.96666666666667,50min,50mM,01,1.7247999999999999
53.13333333333333,50min,50mM,01,1.6918
53.3,50min,50mM,01,1.6415
53.45,50min,50mM,01,1.5755
53.61666666666667,50min,50mM,01,1.5010999999999999
53.78333333333333,50min,50mM,01,1.4119
53.95,50min,50mM,01,1.3116999999999999
54.11666666666667,50min,50mM,01,1.2376
54.28333333333333,50min,50mM,01,1.0975
54.45,50min,50mM,01,0.8808
54.61666666666667,50min,50mM,01,0.6706000000000001
54.78333333333333,50min,50mM,01,0.49189999999999995
54.95,50min,50mM,01,0.3497
55.11666666666667,50min,50mM,01,0.249
55.28333333333333,50min,50mM,01,0.17729999999999996
55.45,50min,50mM,01,0.12499999999999999
55.6,50min,50mM,01,0.08969999999999999
55.766666666666666,50min,50mM,01,0.07079999999999999
55.93333333333334,50min,50mM,01,0.06269999999999999
56.1,50min,50mM,01,0.061399999999999996
56.266666666666666,50min,50mM,01,0.0647
56.43333333333334,50min,50mM,01,0.07029999999999999
56.6,50min,50mM,01,0.077
56.766666666666666,50min,50mM,01,0.0768
56.93333333333334,50min,50mM,01,0.0704
57.1,50min,50mM,01,0.06330000000000001
57.266666666666666,50min,50mM,01,0.05739999999999999
57.43333333333334,50min,50mM,01,0.055099999999999996
57.583333333333336,50min,50mM,01,0.054099999999999995
57.75,50min,50mM,01,0.054000000000000006
57.916666666666664,50min,50mM,01,0.05420000000000001
58.083333333333336,50min,50mM,01,0.05370000000000001
58.25,50min,50mM,01,0.05439999999999999
58.416666666666664,50min,50mM,01,0.05389999999999999
58.583333333333336,50min,50mM,01,0.054000000000000006
58.75,50min,50mM,01,0.05439999999999999
58.916666666666664,50min,50mM,01,0.05439999999999999
59.083333333333336,50min,50mM,01,0.05450000000000001
59.25,50min,50mM,01,0.05489999999999999
59.416666666666664,50min,50mM,01,0.055199999999999985
59.583333333333336,50min,50mM,01,0.05500000000000001
