Time,Azide_1,Azide_2,Type,value
1.95,kArg,kArg,Control,1.7284
2.1166666666666667,kArg,kArg,Control,1.7148999999999999
2.283333333333333,kArg,kArg,Control,1.7011999999999998
2.45,kArg,kArg,Control,1.6901
2.6166666666666667,kArg,kArg,Control,1.6736
2.783333333333333,kArg,kArg,Control,1.6528999999999998
2.95,kArg,kArg,Control,1.6272
3.1166666666666667,kArg,kArg,Control,1.6042999999999998
3.283333333333333,kArg,kArg,Control,1.5735
3.45,kArg,kArg,Control,1.5392
3.6,kArg,kArg,Control,1.5002
3.7666666666666666,kArg,kArg,Control,1.4577
3.933333333333333,kArg,kArg,Control,1.3999
4.1,kArg,kArg,Control,1.3336
4.266666666666667,kArg,kArg,Control,1.2330999999999999
4.433333333333334,kArg,kArg,Control,1.1072
4.6,kArg,kArg,Control,0.9499000000000001
4.766666666666667,kArg,kArg,Control,0.7403000000000001
4.933333333333334,kArg,kArg,Control,0.47940000000000005
5.1,kArg,kArg,Control,0.24200000000000002
5.266666666666667,kArg,kArg,Control,0.11699999999999999
5.416666666666667,kArg,kArg,Control,0.04729999999999998
5.583333333333333,kArg,kArg,Control,0.03739999999999999
5.75,kArg,kArg,Control,0.03719999999999998
5.916666666666667,kArg,kArg,Control,0.028799999999999992
6.083333333333333,kArg,kArg,Control,0.027999999999999997
6.25,kArg,kArg,Control,0.027599999999999986
6.416666666666667,kArg,kArg,Control,0.026599999999999985
6.583333333333333,kArg,kArg,Control,0.02679999999999999
6.75,kArg,kArg,Control,0.0267
6.916666666666667,kArg,kArg,Control,0.026599999999999985
7.083333333333333,kArg,kArg,Control,0.026599999999999985
7.25,kArg,kArg,Control,0.026900000000000007
7.416666666666667,kArg,kArg,Control,0.026599999999999985
7.566666666666666,kArg,kArg,Control,0.02679999999999999
7.733333333333333,kArg,kArg,Control,0.026900000000000007
7.9,kArg,kArg,Control,0.026999999999999996
8.066666666666666,kArg,kArg,Control,0.026999999999999996
8.233333333333333,kArg,kArg,Control,0.026900000000000007
8.4,kArg,kArg,Control,0.026599999999999985
8.566666666666666,kArg,kArg,Control,0.027099999999999985
8.733333333333333,kArg,kArg,Control,0.027700000000000002
8.9,kArg,kArg,Control,0.026999999999999996
9.066666666666666,kArg,kArg,Control,0.0267
9.233333333333333,kArg,kArg,Control,0.02679999999999999
9.383333333333333,kArg,kArg,Control,0.02729999999999999
9.55,kArg,kArg,Control,0.02729999999999999
9.716666666666667,kArg,kArg,Control,0.026599999999999985
9.883333333333333,kArg,kArg,Control,0.02729999999999999
10.05,kArg,kArg,Control,0.026599999999999985
0.0,kArg,kArg,Control,1.7119
0.13333333333333333,kArg,kArg,Control,1.8197999999999999
0.3,kArg,kArg,Control,1.8349
0.4666666666666667,kArg,kArg,Control,1.8317999999999999
0.6333333333333333,kArg,kArg,Control,1.8257999999999999
0.8,kArg,kArg,Control,1.8135999999999999
0.9666666666666667,kArg,kArg,Control,1.8024
1.1333333333333333,kArg,kArg,Control,1.7886
1.3,kArg,kArg,Control,1.7786
1.4666666666666666,kArg,kArg,Control,1.7193999999999998
1.6166666666666667,kArg,kArg,Control,1.7022
1.7833333333333334,kArg,kArg,Control,1.6877
1.95,kArg,kArg,Control,1.6753
2.1166666666666667,kArg,kArg,Control,1.6579
2.283333333333333,kArg,kArg,Control,1.6447999999999998
2.45,kArg,kArg,Control,1.6286999999999998
2.6166666666666667,kArg,kArg,Control,1.6159999999999999
2.783333333333333,kArg,kArg,Control,1.5986
2.95,kArg,kArg,Control,1.5778999999999999
3.1166666666666667,kArg,kArg,Control,1.5561999999999998
3.283333333333333,kArg,kArg,Control,1.5331
3.45,kArg,kArg,Control,1.5101
3.6,kArg,kArg,Control,1.4811999999999999
3.7666666666666666,kArg,kArg,Control,1.45
3.933333333333333,kArg,kArg,Control,1.4096
4.1,kArg,kArg,Control,1.3603999999999998
4.266666666666667,kArg,kArg,Control,1.3049
4.433333333333334,kArg,kArg,Control,1.2391999999999999
4.6,kArg,kArg,Control,1.1507999999999998
4.766666666666667,kArg,kArg,Control,1.0388
4.933333333333334,kArg,kArg,Control,0.9096000000000001
5.1,kArg,kArg,Control,0.7411
5.266666666666667,kArg,kArg,Control,0.5338
5.416666666666667,kArg,kArg,Control,0.37629999999999997
5.583333333333333,kArg,kArg,Control,0.23139999999999997
5.75,kArg,kArg,Control,0.1346
5.916666666666667,kArg,kArg,Control,0.0645
6.083333333333333,kArg,kArg,Control,0.0403
6.25,kArg,kArg,Control,0.05399999999999999
6.416666666666667,kArg,kArg,Control,0.03370000000000001
6.583333333333333,kArg,kArg,Control,0.02579999999999999
6.75,kArg,kArg,Control,0.023799999999999988
6.916666666666667,kArg,kArg,Control,0.019799999999999998
7.083333333333333,kArg,kArg,Control,0.01999999999999999
7.25,kArg,kArg,Control,0.018299999999999997
7.416666666666667,kArg,kArg,Control,0.018299999999999997
7.566666666666666,kArg,kArg,Control,0.018199999999999994
7.733333333333333,kArg,kArg,Control,0.018199999999999994
7.9,kArg,kArg,Control,0.018199999999999994
8.066666666666666,kArg,kArg,Control,0.0184
8.233333333333333,kArg,kArg,Control,0.018199999999999994
8.4,kArg,kArg,Control,0.018299999999999997
8.566666666666666,kArg,kArg,Control,0.018299999999999997
8.733333333333333,kArg,kArg,Control,0.018199999999999994
8.9,kArg,kArg,Control,0.018199999999999994
9.066666666666666,kArg,kArg,Control,0.018299999999999997
9.233333333333333,kArg,kArg,Control,0.018199999999999994
9.383333333333333,kArg,kArg,Control,0.01809999999999999
9.55,kArg,kArg,Control,0.018199999999999994
9.716666666666667,kArg,kArg,Control,0.018199999999999994
9.883333333333333,kArg,kArg,Control,0.018199999999999994
10.05,kArg,kArg,Control,0.018299999999999997
